column,unique_values,most_frequent_value,frequency
id,27304,03aad9f36c1c7798e56e20e270f3f620f640ee7bd843f1536fad35efde01e642,1
url,27304,21a726dc6000a9be73ba691b8fe5cb458843f543ce14f06ea47e823c37b24774,1
source,14,Periscope,103
createdAt,27014,2023-11-22 03:20:20,1
lang,12,pt,1
month_year,15,2024-08,2647
illuminating_scored_message,27136,8a7329ae98d54a6bfbc06ee8f31c34a68528b5d60713f9141fc38335384b9528,1
