statistic,retweetCount,replyCount,likeCount,quoteCount,viewCount,bookmarkCount,quoteId,inReplyToId,election_integrity_Truth_illuminating,advocacy_msg_type_illuminating,issue_msg_type_illuminating,attack_msg_type_illuminating,image_msg_type_illuminating,cta_msg_type_illuminating,engagement_cta_subtype_illuminating,fundraising_cta_subtype_illuminating,voting_cta_subtype_illuminating,covid_topic_illuminating,economy_topic_illuminating,education_topic_illuminating,environment_topic_illuminating,foreign_policy_topic_illuminating,governance_topic_illuminating,health_topic_illuminating,immigration_topic_illuminating,lgbtq_issues_topic_illuminating,military_topic_illuminating,race_and_ethnicity_topic_illuminating,safety_topic_illuminating,social_and_cultural_topic_illuminating,technology_and_privacy_topic_illuminating,womens_issue_topic_illuminating,incivility_illuminating,scam_illuminating,freefair_illuminating,fraud_illuminating
count,27304.0,27304.0,27304.0,27304.0,27304.0,27304.0,3287.0,3345.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,27304.0,27304.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,24017.0,23959.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,0.0,0.0
mean,1322.0551933782597,1063.7850131848813,6913.69282888954,128.08156314093173,507084.7318341635,136.21352182830356,1.7642983966589501e18,1.7582857247419996e18,0.03714373511561804,0.5636859491434278,0.507682261657832,0.3075977567795959,0.22643466236460014,0.10966428516555274,0.0669124990397173,0.007874318199277867,0.016785741722363065,0.0076054390412537455,0.16021356687408772,0.01843742797879696,0.028539602058846123,0.042252439118076364,0.022969962356917877,0.05565798571099332,0.06529922409157256,0.0030729046631328264,0.010985634170699855,0.015402934623953292,0.03760467081508796,0.05197050011523392,0.0020357993393254974,0.02331566413152032,0.17857417223630637,0.012368441269109626,0.0014283621447406974,0.0027468502783474947
std,3405.0042401645183,3174.981654139348,21590.307989209447,1131.5334680019284,3212173.986296655,712.5802944831518,6.894686649329472e16,4.3611965701560504e16,0.1891175609378361,0.49593703963228053,0.49995058134254755,0.46150791760416376,0.4185316409839206,0.3124768475794727,0.24987519849406606,0.08838898916084756,0.1284702866854094,0.08687857194055204,0.3668110523395825,0.13452949268938846,0.16651173583618067,0.20116839951473556,0.1498105645777889,0.2292644615290389,0.24705784739188538,0.05534961243011968,0.10423707289416255,0.12315139782021392,0.19024181908327997,0.22197175454151635,0.04507474794044172,0.15090698683369944,0.3830027047455516,0.1105257081389594,0.037767369074478356,0.052339329587953634
min,0.0,0.0,0.0,0.0,5.0,0.0,7.912639390153769e17,1.2400673584227e18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,84.0,43.0,393.0,5.0,27853.0,4.0,1.726465576032453e18,1.72680073080644e18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,333.0,131.0,1406.0,17.0,70942.0,21.0,1.756495928737825e18,1.74664126277265e18,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,1071.0,501.0,5010.0,69.0,303661.0,76.0,1.8166247462487452e18,1.7892256027314386e18,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,144615.0,121270.0,915221.0,123320.0,333502775.0,42693.0,1.8535761683325583e18,1.853530653414859e18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
